,n,cover68,cover95,mae,width68
residual (old),23.0,0.6086956521739131,0.9565217391304348,165.69565217391303,352.9710144927536
prediction (new),23.0,0.5217391304347826,0.9130434782608695,161.20289855072468,302.0289855072464
