id,group,holdout,scholarly_date,hb_map,hb_ci68_lo,hb_ci68_hi,hb_post_std,hb_z_score,hb_scholar_in68,hb_prior_prec
herodotus_histories,classical,False,-440.0,-446.5565204113333,-466.16123227006744,-426.951808552599,19.687631627643523,-0.32782602056666404,True,0.9690070977644738
thucydides_history,classical,False,-410.0,-409.18504531933604,-423.912074230743,-394.45801640792916,14.871525457655956,0.054330312044263945,True,0.9829434197231519
lysias_orations,classical,False,-390.0,-393.47621448050194,-413.11225302904444,-373.8401759319594,19.656351036672625,-0.17381072402509687,True,0.9659303401922525
xenophon_anabasis,classical,False,-370.0,-371.9356883232771,-386.6883855820894,-357.1829910644647,14.855165043503716,-0.1290458882184718,True,0.9807819043099323
xenophon_hellenica,classical,False,-355.0,-359.0865649043115,-373.8392621631238,-344.33386764549914,14.859163087356277,-0.27243766028743344,True,0.9813099006962281
plato_republic,classical,False,-375.0,-367.26725563058926,-386.60314410409427,-347.4479699452466,19.69826338782578,0.38663721847053695,True,0.9700539512403938
plato_laws,classical,False,-350.0,-351.47226954492453,-366.2249668037368,-336.7195722861121,14.866163098551354,-0.09815130299496862,True,0.9822346901010223
isocrates_panegyricus,classical,False,-375.0,-369.68424168977737,-389.0201301632824,-349.86495600443476,19.745353119777832,0.2657879155111317,True,0.9746974245618003
demosthenes_philippics,classical,False,-350.0,-348.61690878515435,-363.3696060439667,-333.86421152634205,14.867417147987453,0.09220608098970993,True,0.9824004117878726
aeschines_orations,classical,False,-345.0,-343.8579741855375,-358.61067144434975,-329.1052769267252,14.85349356645415,0.07613505429749996,True,0.9805612050164214
andocides_orations,classical,False,-400.0,-400.4377286979155,-420.2738672964831,-381.09749356431223,19.65869930364678,-0.021886434895773733,True,0.966161145778006
aristotle_nicomachean,classical,False,-335.0,-332.91242460641865,-342.9061872656141,-323.3945554071849,9.962195132641158,0.20875753935813463,True,0.9924533186081919
aristotle_politics,classical,False,-335.0,-332.91242460641865,-342.9061872656141,-322.91866194722326,9.96382645937925,0.20875753935813463,True,0.9927783771262605
aeneas_tacticus,classical,False,-350.0,-357.1829910644647,-376.6946229228939,-337.67135920603556,19.642578976058697,-0.3591495532232358,True,0.9645772720767579
hyperides_orations,classical,False,-340.0,-340.050826505844,-354.8035237646563,-324.82223578707,14.865786043861151,-0.0033884337229324046,True,0.9821848653415864
theophrastus_characters,classical,False,-315.0,-316.7320469677213,-331.48474422653356,-301.97934970890896,14.892002051529591,-0.1154697978480878,True,0.9856521115678292
theophrastus_historia_plantarum,classical,False,-310.0,-306.7382843085258,-321.49098156733817,-291.98558704971356,14.86170227452984,0.21744771276494626,True,0.9816453088745128
dionysius_roman_antiquities,atticizing,False,-20.0,-21.678101791475022,-36.4307990502873,-6.92540453266275,14.796439791783547,-0.11187345276500148,True,0.9730428022750023
dionysius_thucydides,atticizing,False,-20.0,-19.29863449166657,-34.0513317504789,-4.545937232854293,14.812757417232865,0.04675770055556209,True,0.975190143563499
strabo_geography,atticizing,False,-20.0,-21.202208331513322,-35.95490559032565,-6.449511072700993,14.777642174018515,-0.08014722210088815,True,0.9705720365481364
