unit,map_bce,map_bce_resistant,ci68_lo,ci68_hi,n_words,noisy
Jer_DTR,412.0,502.0,370.0,453.0,15197,False
Jer_oracle,562.0,741.0,520.0,605.0,14539,False
Song_Sea,852.0,460.0,781.0,923.0,433,True
Song_Deborah,585.0,564.0,513.0,654.0,462,True
Exod_full,410.0,467.0,375.0,442.0,23748,False
Exod_no_song,400.0,469.0,366.0,433.0,23315,False
Judg_full,492.0,255.0,451.0,536.0,14086,False
Judg_no_song,490.0,251.0,446.0,534.0,13624,False
