book,chapter,n_words,source_label,map_char,ci68_lo_char,ci68_hi_char,map_word,ci68_lo_word,ci68_hi_word,avg_date,archaism_index,classification
Numbers,4,946,P,273.5,232.1,317.3,384.2,310.4,455.6,328.9,110.6,EDITORIAL
Numbers,5,665,P,388.8,345.0,432.6,614.6,540.9,688.4,501.7,225.9,MIXED
Numbers,6,483,P,204.4,162.9,248.2,674.5,600.8,748.3,439.5,470.1,ARCHAIZED
Numbers,7,1333,P,190.6,149.1,234.4,660.7,587.0,734.5,425.7,470.1,ARCHAIZED
Numbers,8,498,P,50.0,52.3,73.0,262.0,190.6,335.8,156.0,212.0,EDITORIAL
Numbers,9,504,P,603.1,559.3,646.9,799.0,725.3,872.7,701.1,195.9,OLD_SOURCE
Numbers,10,523,P,448.7,404.9,492.5,660.7,587.0,734.5,554.7,212.0,MIXED
Numbers,11,783,JE,589.3,547.8,633.1,610.0,536.3,681.5,599.6,20.7,MIXED
Numbers,12,269,JE,331.2,289.7,374.9,398.0,326.6,471.7,364.6,66.8,EDITORIAL
Numbers,13,545,JE+P,759.8,716.0,803.6,437.2,363.4,510.9,598.5,-322.6,MIXED
Numbers,14,884,JE+P,734.5,693.0,778.3,665.3,593.9,739.1,699.9,-69.1,OLD_SOURCE
Numbers,15,715,P,204.4,162.9,248.2,432.6,358.8,506.3,318.5,228.2,MIXED
Numbers,16,681,JE+P,370.3,328.9,414.1,676.9,605.4,750.6,523.6,306.5,ARCHAIZED
Numbers,17,553,P,158.3,116.8,202.1,566.2,492.5,640.0,362.3,407.9,ARCHAIZED
Numbers,18,698,P,50.0,54.6,98.4,319.6,245.9,393.4,184.8,269.6,MIXED
Numbers,19,509,P,395.7,351.9,437.2,215.9,144.5,289.7,305.8,-179.8,EDITORIAL
Numbers,20,584,JE+P,471.7,430.3,515.5,640.0,566.2,713.7,555.9,168.2,MIXED
Numbers,21,674,JE,637.7,593.9,681.5,580.1,506.3,653.8,608.9,-57.6,MIXED
Numbers,22,866,JE,568.5,524.7,612.3,600.8,527.1,672.2,584.7,32.3,MIXED
Numbers,23,516,JE,616.9,575.5,660.7,805.9,732.2,879.7,711.4,189.0,OLD_SOURCE
Numbers,24,411,JE,575.5,534.0,619.2,750.6,676.9,822.0,663.0,175.2,OLD_SOURCE
Numbers,25,316,JE+P,448.7,407.2,492.5,446.4,372.6,517.8,447.5,-2.3,MIXED
Numbers,26,959,P,381.9,340.4,425.7,298.9,227.5,372.6,340.4,-83.0,EDITORIAL
Numbers,27,438,P,50.0,50.0,54.6,497.1,423.3,570.8,273.5,447.1,ARCHAIZED
Numbers,28,496,P,515.5,474.0,559.3,404.9,331.2,478.7,460.2,-110.6,MIXED
Numbers,29,627,P,377.3,333.5,421.0,50.0,56.9,123.7,213.6,-327.3,MIXED
Numbers,30,329,P,418.7,377.3,462.5,504.0,430.3,577.8,461.4,85.3,MIXED
Numbers,31,980,P,485.6,444.1,529.4,531.7,457.9,605.4,508.6,46.1,MIXED
Numbers,32,774,P,340.4,296.6,381.9,471.7,398.0,543.2,406.1,131.4,MIXED
Numbers,33,721,P,780.6,739.1,824.3,591.6,517.8,665.3,686.1,-189.0,OLD_SOURCE
Numbers,34,413,P,303.5,259.7,347.3,370.3,296.6,444.1,336.9,66.8,EDITORIAL
Numbers,35,679,P,144.5,103.0,186.0,128.4,84.6,209.0,136.4,-16.1,EDITORIAL
Numbers,36,287,P,50.0,52.3,73.0,430.3,358.8,504.0,240.1,380.3,ARCHAIZED
Deuteronomy,1,925,D-frame,361.1,317.3,402.6,453.3,379.6,527.1,407.2,92.2,MIXED
Deuteronomy,2,723,D-frame,418.7,374.9,460.2,596.2,524.7,669.9,507.5,177.5,MIXED
Deuteronomy,3,655,D-frame,517.8,474.0,559.3,358.8,285.1,432.6,438.3,-159.0,MIXED
Deuteronomy,4,1131,D-frame,626.2,582.4,669.9,377.3,303.5,451.0,501.7,-248.9,MIXED
Deuteronomy,5,638,D-code,628.5,584.7,669.9,506.3,432.6,580.1,567.4,-122.1,MIXED
Deuteronomy,6,452,D-code,268.9,225.2,310.4,301.2,227.5,374.9,285.1,32.3,EDITORIAL
Deuteronomy,7,576,D-code,227.5,186.0,271.2,234.4,162.9,308.1,230.9,6.9,EDITORIAL
Deuteronomy,8,394,D-code,854.3,812.8,898.1,441.8,368.0,513.2,648.0,-412.5,MIXED
Deuteronomy,9,708,D-code,388.8,345.0,430.3,490.2,416.4,563.9,439.5,101.4,MIXED
Deuteronomy,10,463,D-code,490.2,446.4,531.7,437.2,363.4,510.9,463.7,-53.0,MIXED
Deuteronomy,11,710,D-code,423.3,379.6,464.8,308.1,234.4,381.9,365.7,-115.2,EDITORIAL
Deuteronomy,12,704,D-code,312.7,268.9,356.5,570.8,497.1,644.6,441.8,258.1,MIXED
Deuteronomy,13,451,D-code,478.7,434.9,520.1,513.2,439.5,587.0,495.9,34.6,MIXED
Deuteronomy,14,507,D-code,298.9,257.4,342.7,245.9,174.4,319.6,272.4,-53.0,EDITORIAL
Deuteronomy,15,468,D-code,499.4,457.9,543.2,356.5,282.8,430.3,428.0,-142.9,MIXED
Deuteronomy,16,457,D-code,540.9,497.1,582.4,467.1,393.4,540.9,504.0,-73.7,MIXED
Deuteronomy,17,508,D-code,310.4,268.9,354.2,474.0,402.6,547.8,392.2,163.6,MIXED
Deuteronomy,18,414,D-code,319.6,275.9,363.4,540.9,467.1,614.6,430.3,221.2,MIXED
Deuteronomy,19,462,D-code,326.6,285.1,370.3,444.1,370.3,515.5,385.3,117.5,MIXED
Deuteronomy,20,443,D-code,347.3,303.5,388.8,372.6,298.9,446.4,360.0,25.4,EDITORIAL
