ngram,rho,direction,n_gram_size
W·H,-0.7069216657568719,↓ LBH,2
W·L,-0.6486644329380146,↓ LBH,2
ZH·W,-0.6298353273460233,↓ LBH,2
L·H,-0.5890069051494705,↓ LBH,2
>L·H,-0.5863260844268284,↓ LBH,2
