unit,date_bce,subs·conj·art,conj·art,verb_infc·conj,verb_perf·subs,advb·verb_impf,adjv·conj,adjv·conj·prep,verb_perf·subs·prep,verb_impf·nmpr,conj·art·subs,nmpr·nega·verb_impf,prep·verb_infc·conj,nmpr·verb_impf,art·adjv,art·adjv·conj,prde·verb_perf,art·adjv·verb_perf,adjv·conj·prps,verb_ptca·nega,verb_impv·conj,verb_impf·subs·prep,prep·nmpr·verb_impf,verb_infc·conj·prep,prep·verb_infc·art,verb_impv·subs·nmpr,subs·nmpr·verb_impv,verb_wayq·subs·adjv,subs·verb_impv,verb_perf·verb_impv,verb_impf·subs,verb_perf·prep·verb_infc,prep·verb_infc,nmpr·nega,prps·verb_impf,nmpr·verb_impf·subs,nega·verb_impf,verb_infc·art,conj·art·adjv,nmpr·verb_impf·conj,subs·art·subs,subs·nmpr·verb_impf,verb_perf·subs·nmpr,conj·prep·conj,advb·verb_impf·prep,art·subs·verb_ptca,art·subs·conj,verb_impf·conj·nmpr,prep·verb_infc·prep,verb_impf·prep,art·prps·verb_impf,art·subs,W·H,W·L,ZH·W,L·H,>L·H
Amos,760,1.079136690647482,2.5179856115107913,0.7194244604316546,18.70503597122302,3.5971223021582737,6.115107913669065,0.3597122302158273,6.474820143884892,2.5179856115107913,1.079136690647482,2.158273381294964,0.7194244604316546,1.4388489208633093,3.237410071942446,1.079136690647482,0.0,0.0,0.0,0.7194244604316546,2.8776978417266186,3.5971223021582737,0.7194244604316546,0.0,0.0,0.3597122302158273,1.7985611510791368,0.0,2.158273381294964,1.079136690647482,10.79136690647482,0.7194244604316546,11.870503597122303,2.8776978417266186,1.079136690647482,0.3597122302158273,17.26618705035971,0.3597122302158273,0.0,0.7194244604316546,11.510791366906474,0.3597122302158273,2.5179856115107913,0.0,1.7985611510791368,0.3597122302158273,16.906474820143885,1.079136690647482,5.39568345323741,16.546762589928058,1.079136690647482,44.96402877697842,2.158273381294964,1.079136690647482,0.0,3.237410071942446,0.3597122302158273
Hosea,740,0.9535918626827717,1.2714558169103625,1.2714558169103625,19.389701207883025,4.450095359186268,3.178639542275906,0.0,4.450095359186268,4.450095359186268,1.2714558169103625,0.9535918626827717,0.9535918626827717,6.993006993006993,1.2714558169103625,0.3178639542275906,0.0,0.0,0.0,0.0,1.589319771137953,3.814367450731087,1.9071837253655435,0.0,0.0,1.589319771137953,0.9535918626827717,0.0,4.132231404958678,0.6357279084551812,19.071837253655435,0.6357279084551812,8.582326764144947,1.9071837253655435,3.4965034965034967,1.9071837253655435,15.89319771137953,0.0,0.0,1.9071837253655435,7.310870947234584,2.225047679593134,2.542911633820725,0.0,1.2714558169103625,0.6357279084551812,11.760966306420851,0.3178639542275906,4.132231404958678,29.243483788938335,0.3178639542275906,31.150667514303876,1.2714558169103625,1.589319771137953,0.0,3.178639542275906,0.0
Micah,720,1.5831134564643798,3.1662269129287597,0.5277044854881267,17.41424802110818,5.277044854881266,4.221635883905013,0.0,3.1662269129287597,3.1662269129287597,0.5277044854881267,1.0554089709762533,0.5277044854881267,5.277044854881266,3.6939313984168862,0.0,0.0,0.0,0.0,0.5277044854881267,3.1662269129287597,6.860158311345646,2.638522427440633,0.0,0.5277044854881267,1.0554089709762533,1.0554089709762533,0.0,5.804749340369393,1.5831134564643798,20.58047493403694,0.0,5.804749340369393,1.0554089709762533,3.6939313984168862,1.5831134564643798,13.192612137203167,0.5277044854881267,1.0554089709762533,0.5277044854881267,5.277044854881266,2.1108179419525066,2.638522427440633,0.0,2.638522427440633,1.5831134564643798,8.970976253298154,0.5277044854881267,2.1108179419525066,30.606860158311346,1.0554089709762533,29.023746701846967,3.1662269129287597,1.5831134564643798,0.0,3.6939313984168862,0.0
Nahum,620,1.3404825737265416,5.361930294906166,1.3404825737265416,18.766756032171582,2.680965147453083,5.361930294906166,0.0,4.021447721179625,1.3404825737265416,5.361930294906166,1.3404825737265416,0.0,1.3404825737265416,1.3404825737265416,0.0,0.0,0.0,0.0,2.680965147453083,1.3404825737265416,4.021447721179625,0.0,0.0,0.0,0.0,0.0,0.0,10.723860589812332,0.0,20.10723860589812,0.0,1.3404825737265416,1.3404825737265416,2.680965147453083,0.0,9.383378016085791,0.0,0.0,0.0,5.361930294906166,1.3404825737265416,0.0,0.0,0.0,0.0,9.383378016085791,0.0,1.3404825737265416,13.404825737265416,0.0,45.57640750670242,5.361930294906166,0.0,0.0,5.361930294906166,0.0
Habakkuk,600,0.0,2.229654403567447,0.0,21.181716833890746,5.574136008918618,5.574136008918618,0.0,6.688963210702341,1.1148272017837235,1.1148272017837235,0.0,0.0,4.459308807134894,3.3444816053511706,1.1148272017837235,0.0,0.0,0.0,1.1148272017837235,2.229654403567447,6.688963210702341,2.229654403567447,0.0,0.0,0.0,0.0,0.0,4.459308807134894,0.0,20.066889632107024,0.0,16.72240802675585,0.0,1.1148272017837235,1.1148272017837235,13.377926421404682,0.0,0.0,2.229654403567447,4.459308807134894,2.229654403567447,1.1148272017837235,0.0,1.1148272017837235,1.1148272017837235,10.033444816053512,0.0,5.574136008918618,28.985507246376812,0.0,32.32998885172798,1.1148272017837235,0.0,0.0,4.459308807134894,0.0
Zephaniah,620,0.9643201542912248,2.8929604628736745,0.0,21.215043394406944,3.857280617164899,7.714561234329798,1.9286403085824495,9.643201542912246,2.8929604628736745,0.9643201542912248,2.8929604628736745,0.0,1.9286403085824495,5.785920925747349,3.857280617164899,0.0,0.0,0.0,0.9643201542912248,1.9286403085824495,2.8929604628736745,0.9643201542912248,0.0,0.0,0.9643201542912248,1.9286403085824495,0.0,2.8929604628736745,1.9286403085824495,11.571841851494698,0.0,7.714561234329798,3.857280617164899,3.857280617164899,0.0,16.393442622950822,0.0,0.0,0.9643201542912248,17.357762777242044,0.0,1.9286403085824495,0.0,3.857280617164899,0.0,17.357762777242044,1.9286403085824495,2.8929604628736745,24.108003857280618,2.8929604628736745,55.930568948891036,2.8929604628736745,1.9286403085824495,0.0,3.857280617164899,0.0
Isaiah_1,720,2.3696682464454977,3.9247630331753554,1.4810426540284358,21.03080568720379,2.8139810426540284,7.109004739336492,1.0367298578199053,4.739336492890995,3.110189573459716,2.7399289099526065,0.8886255924170615,1.110781990521327,2.7399289099526065,3.7026066350710902,1.4810426540284358,0.22215639810426538,0.22215639810426538,0.1481042654028436,0.5924170616113744,1.9253554502369667,2.8880331753554502,0.8145734597156398,0.22215639810426538,0.5183649289099527,0.44431279620853076,0.6664691943127963,0.0,4.072867298578199,0.5924170616113744,13.403436018957345,1.1848341232227488,12.292654028436019,1.110781990521327,2.591824644549763,0.9626777251184834,10.071090047393366,0.5183649289099527,0.44431279620853076,0.6664691943127963,10.737559241706162,0.9626777251184834,1.9253554502369667,0.2962085308056872,0.7405213270142179,0.5924170616113744,13.033175355450236,0.2962085308056872,2.8139810426540284,14.588270142180095,1.9253554502369667,42.50592417061611,3.9247630331753554,3.7026066350710902,0.44431279620853076,3.7766587677725116,1.4069905213270142
Isaiah_2,540,1.2199372603694667,2.0913210177762287,1.5684907633321714,14.6392471244336,4.008365284071105,4.35691878703381,0.5228302544440572,2.9627047751829907,1.0456605088881143,1.5684907633321714,0.5228302544440572,1.0456605088881143,2.788428023701638,2.6141512722202855,0.5228302544440572,0.0,0.17427675148135238,0.34855350296270476,0.0,2.788428023701638,2.788428023701638,0.871383757406762,0.0,0.17427675148135238,0.34855350296270476,0.871383757406762,0.0,5.925409550365981,1.2199372603694667,19.170442662948762,1.2199372603694667,8.888114325548973,0.6971070059254095,1.5684907633321714,0.34855350296270476,18.473335657023352,0.17427675148135238,0.34855350296270476,1.2199372603694667,5.054025792959219,0.871383757406762,0.871383757406762,0.17427675148135238,0.871383757406762,0.5228302544440572,5.054025792959219,0.17427675148135238,2.4398745207389334,19.170442662948762,0.0,26.664342976646918,1.742767514813524,2.788428023701638,0.0,5.576856047403276,0.17427675148135238
Isaiah_3,450,2.9818378964489023,5.692599620493358,2.9818378964489023,15.722417999457848,1.8975332068311195,7.047980482515587,0.813228517213337,3.5239902412577937,1.8975332068311195,3.252914068853348,0.813228517213337,2.9818378964489023,4.066142586066685,5.963675792897805,1.3553808620222283,0.0,0.813228517213337,0.5421523448088913,0.5421523448088913,0.5421523448088913,2.9818378964489023,0.813228517213337,0.27107617240444565,0.27107617240444565,0.27107617240444565,0.0,0.0,4.066142586066685,0.5421523448088913,18.975332068311193,1.3553808620222283,13.553808620222282,1.3553808620222283,2.9818378964489023,1.3553808620222283,14.095960965031175,0.5421523448088913,0.5421523448088913,0.813228517213337,8.13228517213337,2.168609379235565,1.0843046896177826,1.0843046896177826,0.813228517213337,1.8975332068311195,8.403361344537815,0.5421523448088913,4.33721875847113,21.14394144754676,0.0,36.05313092979127,4.608294930875576,3.795066413662239,0.0,5.963675792897805,0.5421523448088913
Jeremiah,590,1.10048834170163,1.9258545979778525,2.888781896966779,20.49659536419286,2.2697572047596117,4.40195336680652,0.7565857349198707,5.640002751220854,1.0317078203452783,1.4443909484833894,1.0317078203452783,2.4760987688286678,2.3385377261159643,2.3385377261159643,0.7565857349198707,0.2751220854254075,0.2751220854254075,0.0,0.34390260678175943,3.0951234610358345,3.0951234610358345,0.48146364949446313,1.3068299057706856,0.06878052135635188,0.8941467776325746,1.3756104271270377,0.06878052135635188,4.883417016300983,1.0317078203452783,11.899030194648875,0.8253662562762226,9.629272989889264,1.3068299057706856,1.10048834170163,0.48146364949446313,14.925373134328359,0.06878052135635188,0.06878052135635188,0.48146364949446313,8.941467776325744,1.0317078203452783,2.613659811541371,0.13756104271270375,0.8253662562762226,0.48146364949446313,13.82488479262673,0.20634156406905566,2.6824403328977233,17.814155031295137,0.20634156406905566,39.617580301258684,1.719513033908797,3.1639039823921866,0.6878052135635189,4.333172845450169,0.8941467776325746
