unit,frac_ani,rate_anochi,rate_ani,frac_she,rate_asher,frac_ein,rate_neg_al,frac_neg_al,rate_neg_lo,rate_ki,rate_gam,rate_lakhen,rate_hinne,rate_atta,rate_az,rate_af,rate_wayyiqtol,rate_qatal,rate_yiqtol,rate_ptca,rate_ptcp,rate_inf_abs,rate_inf_con,rate_impv,rate_jussive,rate_cohort,rate_qal,rate_hiphil,rate_piel,rate_niphal,rate_hithpael,rate_hophal,frac_baqash,rate_baqash,rate_shaal,frac_qahal,rate_hayah,rate_amar,rate_natan,rate_halak,rate_const,rate_prs,rate_pl_noun,rate_f_noun
Amos,0.09090909090909091,3.597122302158273,0.3597122302158273,0.0,6.474820143884892,0.06578947368421052,0.0,0.0,25.53956834532374,9.35251798561151,1.079136690647482,2.5179856115107913,0.0,0.0,0.0,0.7194244604316546,10.431654676258992,68.34532374100719,48.20143884892086,28.776978417266186,1.079136690647482,1.7985611510791366,15.107913669064747,15.467625899280575,0.0,0.0,125.89928057553956,35.97122302158273,12.230215827338128,13.30935251798561,1.079136690647482,0.3597122302158273,1.0,0.3597122302158273,0.0,,3.597122302158273,18.70503597122302,0.0,3.237410071942446,82.37410071942446,82.37410071942446,68.70503597122301,64.02877697841727
Hosea,0.5217391304347826,3.4965034965034967,3.8143674507310874,0.0,3.8143674507310874,0.189873417721519,0.0,0.0,20.3432930705658,21.93261284170375,3.8143674507310874,1.2714558169103625,0.0,0.0,0.3178639542275906,1.2714558169103625,13.986013986013987,74.06230133502861,82.96249205340115,20.02542911633821,3.8143674507310874,3.4965034965034967,9.85378258105531,10.80737444373808,0.0,0.0,152.5746980292435,25.74698029243484,23.839796567069296,10.80737444373808,1.5893197711379532,1.2714558169103625,0.8333333333333334,1.5893197711379532,0.3178639542275906,0.0,8.582326764144947,6.993006993006993,0.0,6.993006993006993,64.5263827082009,148.4424666242848,72.47298156389066,51.17609663064209
Micah,0.6666666666666666,0.5277044854881267,1.0554089709762533,0.0,8.443271767810026,0.16666666666666666,0.0,0.0,15.831134564643799,17.41424802110818,0.5277044854881267,3.16622691292876,0.0,0.0,0.5277044854881267,1.0554089709762533,3.6939313984168867,60.15831134564644,77.04485488126649,37.46701846965699,1.58311345646438,3.16622691292876,7.915567282321899,13.720316622691293,0.0,0.0,142.4802110817942,31.13456464379947,16.886543535620053,10.026385224274406,2.638522427440633,1.0554089709762533,0.0,0.0,0.5277044854881267,1.0,10.026385224274406,5.277044854881266,0.0,6.33245382585752,83.90501319261213,116.62269129287598,79.15567282321899,65.96306068601584
Isaiah_1,0.6153846153846154,0.370260663507109,0.5924170616113744,0.0,8.367890995260664,0.12719298245614036,0.0,0.0,14.73637440758294,14.069905213270143,1.110781990521327,1.555094786729858,0.0,0.0,0.370260663507109,1.4069905213270142,11.996445497630331,67.60959715639811,54.280213270142184,30.287322274881518,5.405805687203792,4.1469194312796205,14.440165876777252,13.255331753554502,0.0,0.0,132.8495260663507,25.547985781990523,16.143364928909953,17.69845971563981,2.5177725118483414,1.8513033175355451,0.25,0.0740521327014218,0.2221563981042654,,11.848341232227488,10.29324644549763,0.0,2.5177725118483414,85.53021327014218,90.56575829383887,64.64751184834124,65.38803317535545
Zephaniah,1.0,0.0,1.9286403085824493,0.0,5.785920925747348,0.10714285714285714,0.0,0.0,24.108003857280615,16.39344262295082,4.821600771456123,1.9286403085824493,0.0,0.0,1.9286403085824493,3.8572806171648986,1.9286403085824493,61.71648987463838,52.07328833172613,39.53712632594021,1.9286403085824493,2.892960462873674,10.60752169720347,11.571841851494696,0.0,0.0,109.93249758919961,27.00096432015429,20.25072324011572,20.25072324011572,0.9643201542912246,0.0,1.0,3.8572806171648986,0.0,,10.60752169720347,4.821600771456123,0.0,0.9643201542912246,114.75409836065573,94.50337512054001,62.6808100289296,69.43105110896818
Nahum,,0.0,0.0,0.0,2.680965147453083,0.4375,0.0,0.0,12.064343163538874,8.04289544235925,5.361930294906166,0.0,0.0,0.0,0.0,2.680965147453083,5.361930294906166,76.40750670241287,48.257372654155496,60.32171581769437,6.702412868632708,8.04289544235925,2.680965147453083,17.42627345844504,0.0,0.0,113.94101876675603,21.447721179624665,41.55495978552279,22.788203753351205,6.702412868632708,5.361930294906166,1.0,2.680965147453083,0.0,,4.021447721179625,2.680965147453083,0.0,2.680965147453083,85.79088471849866,132.7077747989276,95.17426273458445,76.40750670241287
Habakkuk,1.0,0.0,1.1148272017837235,0.0,3.3444816053511706,0.125,0.0,0.0,23.411371237458194,17.837235228539576,1.1148272017837235,0.0,0.0,0.0,1.1148272017837235,2.229654403567447,16.722408026755854,49.05239687848383,90.3010033444816,31.215161649944257,2.229654403567447,3.3444816053511706,20.066889632107024,14.492753623188406,0.0,0.0,151.6164994425864,31.215161649944257,28.985507246376812,6.688963210702341,5.574136008918618,0.0,,0.0,0.0,,3.3444816053511706,3.3444816053511706,0.0,3.3444816053511706,59.08584169453734,128.2051282051282,74.69342251950948,68.00445930880713
Jeremiah,0.65,0.9629272989889263,1.7882935552651489,0.0,9.835614553958319,0.1675531914893617,0.0,0.0,21.52830318453814,19.87757067198569,3.163903982392186,2.4760987688286678,0.0,0.0,0.2751220854254075,0.7565857349198706,9.491711947176558,80.6107710296444,50.14100006878052,28.819038448311435,2.4073182474723156,4.058050760024761,12.036591237361579,18.36439920214595,0.0,0.0,138.59275053304904,26.13659811541371,17.95171607400784,16.5761056468808,2.9575624183231306,0.8941467776325744,0.6666666666666666,0.8253662562762225,0.41268312813811125,0.5,8.666345690900336,13.824884792626728,0.0,4.470733888162872,82.7429671916913,121.39762019396106,66.44198363023591,61.489786092578576
Lamentations,1.0,0.0,2.056555269922879,0.3076923076923077,4.627249357326478,0.22,0.0,0.0,20.051413881748072,14.395886889460154,3.0848329048843186,0.0,0.0,0.0,0.0,5.655526992287918,14.910025706940873,134.19023136246787,41.6452442159383,29.305912596401026,2.056555269922879,3.0848329048843186,10.282776349614394,14.910025706940873,0.0,0.0,165.55269922879177,32.904884318766065,33.419023136246786,12.339331619537274,3.0848329048843186,1.0282776349614395,0.6666666666666666,1.0282776349614395,0.5141388174807198,1.0,11.825192802056554,5.141388174807197,0.0,3.0848329048843186,90.48843187660668,174.293059125964,93.05912596401028,92.54498714652956
Ezekiel,0.9941176470588236,0.03819417920708884,6.454816285998014,0.0,13.024215109617295,0.06521739130434782,0.0,0.0,13.138797647238562,7.715224199831946,1.1076311970055763,2.406233290046597,0.0,0.0,0.03819417920708884,0.5729126881063327,19.593613933236576,65.31204644412192,33.190741730960205,17.225574822397068,3.0555343365671073,1.3749904514551983,16.843633030326178,8.784661217630433,0.0,0.0,116.07211061034299,18.676953632266443,14.17004048582996,12.718661675960584,0.9930486593843099,1.3749904514551983,0.9090909090909091,0.3819417920708884,0.03819417920708884,1.0,12.871438392788939,13.86448705217325,0.0,2.5590100068749524,90.48201054159347,125.12413108242305,77.95431976166833,85.2112138110152
