unit,map_bce,map_bce_resistant,ci68_lo,ci68_hi,ci95_lo,ci95_hi,ci95_wide,n_words
Genesis,416.0,232.0,384.0,449.0,354.0,481.0,False,28764
Exodus,400.0,449.0,366.0,433.0,333.0,467.0,False,23315
Leviticus,400.0,707.0,363.0,439.0,324.0,479.0,False,17099
Numbers,333.0,377.0,301.0,368.0,269.0,400.0,False,23188
Deuteronomy,292.0,695.0,257.0,329.0,221.0,363.0,False,20128
D,292.0,695.0,257.0,329.0,221.0,363.0,False,20128
P,361.0,465.0,329.0,393.0,299.0,426.0,False,53645
JE,435.0,324.0,403.0,467.0,373.0,499.0,False,40867
