unit,mean_lbh,min_lbh,max_lbh,n_valid_features,classification
Genesis,0.7606019157327933,-0.9272306953966316,1.9014125102714596,36,Modern (LBH-like)
Exodus,0.6552124072189695,-0.07333633173088128,1.5116873286484374,36,Modern (LBH-like)
Leviticus,0.4847805430495945,-0.6161375646365299,1.7385745978741305,36,Mixed/selective
Numbers,0.8434543128846297,-0.07333633173088128,1.919340603853111,36,Modern (LBH-like)
Deuteronomy,0.410702813033579,-1.968959432340405,3.3084820886063304,36,Mixed/selective
D,0.410702813033579,-1.968959432340405,3.3084820886063304,36,Mixed/selective
P,0.7313160252788601,-0.06044686061222485,1.3918847025396734,36,Modern (LBH-like)
JE,0.6511875929833124,-0.5630931056871156,1.5144542927957971,36,Modern (LBH-like)
