feature,rho,p_raw,p_lt_0.10,loo_robust,ling_filter,in_model,description
lex::JCB[,-0.529528305543805,0.011263418764866,True,True,False,False,Lexeme JCB[ (verb) rate per 1k words
lex::RJB[,-0.5287834713702767,0.0113998926899079,True,True,False,False,Lexeme RJB[ (verb) rate per 1k words
lex::NYL[,-0.5279900544635708,0.0115467531375654,True,True,False,False,Lexeme NYL[ (verb) rate per 1k words
lex::RXM[,-0.5279777935214007,0.01154903470156,True,True,False,False,Lexeme RXM[ (verb) rate per 1k words
lex::XRB[,-0.5258177441031366,0.0119567788747514,True,True,False,False,Lexeme XRB[ (verb) rate per 1k words
lex::J<QB/,-0.5207547312065318,0.0129587343227361,True,True,False,False,Lexeme J<QB/ (proper-noun) rate per 1k words
lex::MCPV/,-0.5191282527739597,0.0132947597466099,True,True,False,False,Lexeme MCPV/ (noun) rate per 1k words
lex::R<H[,-0.5179986211747887,0.0135322885735465,True,True,False,False,Lexeme R<H[ (verb) rate per 1k words
lex::CM,-0.5114568804361673,0.0149767059237326,True,True,True,True,Lexeme CM (adverb) rate per 1k words
lex::B,-0.5097486996803758,0.0153737825937354,True,True,True,True,Lexeme B (prep) rate per 1k words
lex::<FRJM/,0.5090639993099273,0.0155353236830189,True,True,False,False,Lexeme <FRJM/ (noun) rate per 1k words
lex::>XCWRWC/,0.505574832991071,0.0163800406969745,True,True,False,False,Lexeme >XCWRWC/ (proper-noun) rate per 1k words
lex::DT/,0.505574832991071,0.0163800406969745,True,True,False,False,Lexeme DT/ (noun) rate per 1k words
lex::DBR/,0.5041018589254702,0.0167476272909129,True,True,False,False,Lexeme DBR/ (noun) rate per 1k words
lex::<FR/,0.5038192961618533,0.0168188990583944,True,True,False,False,Lexeme <FR/ (noun) rate per 1k words
lex::PRJ/,-0.5020609716247589,0.0172679411456579,True,True,False,False,Lexeme PRJ/ (noun) rate per 1k words
lex::ML>KT/,0.5002624194128209,0.017737233246842,True,True,False,False,Lexeme ML>KT/ (noun) rate per 1k words
lex::MBYR/,-0.5002057295722915,0.0177521909490364,True,True,False,False,Lexeme MBYR/ (noun) rate per 1k words
lex::PCR/,0.4994340688622187,0.0179568098892289,True,True,False,False,Lexeme PCR/ (noun) rate per 1k words
vs::piel,-0.4961855413740244,0.0188391962418269,True,True,True,True,Verbal stem piel rate per 1k words
lex::JHWDJ/,0.4947950705667791,0.0192274110339483,True,True,False,False,Lexeme JHWDJ/ (adjective) rate per 1k words
lex::CBR/,-0.4932776267698744,0.0196584035377878,True,True,False,False,Lexeme CBR/ (noun) rate per 1k words
lex::GBWL/,-0.4915609508653507,0.0201553228066817,True,True,False,False,Lexeme GBWL/ (noun) rate per 1k words
lex::BZH[,0.4882053632555313,0.0211558148376715,True,True,False,False,Lexeme BZH[ (verb) rate per 1k words
lex::CBV/,-0.4849182353131162,0.0221741806940549,True,True,False,False,Lexeme CBV/ (noun) rate per 1k words
lex::DNJ>L/,0.4848392082211669,0.0221991386438979,True,True,False,False,Lexeme DNJ>L/ (proper-noun) rate per 1k words
lex::CNJM/,0.4795272402628001,0.0239290833882378,True,True,False,False,Lexeme CNJM/ (noun) rate per 1k words
lex::TC</,0.4794521059075984,0.0239543030235464,True,True,False,False,Lexeme TC</ (noun) rate per 1k words
lex::<L,-0.4781013302988891,0.0244113411587626,True,True,True,True,Lexeme <L (prep) rate per 1k words
lex::J<R/,-0.4745937150414462,0.0256307395049813,True,True,False,False,Lexeme J<R/ (noun) rate per 1k words
lex::CWCN=/,0.474331444435443,0.0257238320618213,True,True,False,False,Lexeme CWCN=/ (proper-noun) rate per 1k words
lex::KKR/,0.4732954175492344,0.026094207102942,True,True,False,False,Lexeme KKR/ (noun) rate per 1k words
lex::CB</,0.4722366874406686,0.0264770757207361,True,True,False,False,Lexeme CB</ (noun) rate per 1k words
lex::>CR,0.4707546195496154,0.0270205361687294,True,True,True,True,Lexeme >CR (conj) rate per 1k words
lex::XYJ/,0.4694551309704958,0.0275043160173729,True,True,False,False,Lexeme XYJ/ (noun) rate per 1k words
lex::M>H/,0.4678049882983305,0.0281285374426829,True,True,False,False,Lexeme M>H/ (noun) rate per 1k words
lex::RJB/,-0.4653363603917431,0.0290833365073683,True,True,False,False,Lexeme RJB/ (noun) rate per 1k words
lex::KRM/,-0.4637823221923702,0.0296974641027965,True,True,False,False,Lexeme KRM/ (noun) rate per 1k words
lex::QCT/,-0.4631784389603489,0.0299388626920624,True,True,False,False,Lexeme QCT/ (noun) rate per 1k words
lex::NBJ>/,-0.462633447721864,0.0301580519803465,True,True,False,False,Lexeme NBJ>/ (noun) rate per 1k words
lex::C,0.4617516268773018,0.0305154009691969,True,True,True,True,Lexeme C (conj) rate per 1k words
lex::CC/,0.4599407216732629,0.0312597617006784,True,True,False,False,Lexeme CC/ (noun) rate per 1k words
lex::M<L[,0.4571341106085288,0.0324417024091044,True,True,False,False,Lexeme M<L[ (verb) rate per 1k words
lex::BWC[,-0.4565037162908864,0.0327119696111646,True,False,False,False,Lexeme BWC[ (verb) rate per 1k words
lex::STR[,-0.455931840176093,0.0329586831742291,True,False,False,False,Lexeme STR[ (verb) rate per 1k words
lex::CM<J=/,0.4544492880818616,0.0336051137437107,True,True,False,False,Lexeme CM<J=/ (proper-noun) rate per 1k words
lex::FMXH/,0.4506880658808896,0.0352900077061296,True,False,False,False,Lexeme FMXH/ (noun) rate per 1k words
lex::RBJ<J/,0.4490060239811794,0.0360646830218595,True,False,False,False,Lexeme RBJ<J/ (adjective) rate per 1k words
lex::CMH/,-0.4480943252135676,0.0364901216753487,True,False,False,False,Lexeme CMH/ (noun) rate per 1k words
lex::KWRC/,0.4476090868995813,0.0367181571211817,True,True,False,False,Lexeme KWRC/ (proper-noun) rate per 1k words
lex::HWH[,0.4471294920261873,0.0369446386400636,True,True,False,False,Lexeme HWH[ (verb) rate per 1k words
lex::JBC[,-0.4454719736395306,0.0377358332364734,True,False,False,False,Lexeme JBC[ (verb) rate per 1k words
lex::CNH/,0.4449386458965984,0.0379932161724823,True,False,False,False,Lexeme CNH/ (noun) rate per 1k words
lex::KTB[,0.4432477333377834,0.0388183570698211,True,False,False,False,Lexeme KTB[ (verb) rate per 1k words
lex::CWPR/,-0.4431890245657355,0.0388472561561139,True,False,False,False,Lexeme CWPR/ (noun) rate per 1k words
lex::>XRWN/,0.4431890245657355,0.0388472561561139,True,False,False,False,Lexeme >XRWN/ (adjective) rate per 1k words
vs::qal,-0.4424980397447165,0.0391886576549309,True,False,True,True,Verbal stem qal rate per 1k words
lex::NTN[,0.4402375133603246,0.0403219743254503,True,False,False,False,Lexeme NTN[ (verb) rate per 1k words
lex::R>CWN/,0.4376044994973098,0.0416741661934212,True,False,False,False,Lexeme R>CWN/ (adjective) rate per 1k words
lex::GL<D/,-0.4374140982585524,0.0417733024540485,True,False,False,False,Lexeme GL<D/ (proper-noun) rate per 1k words
lex::>PS/,-0.4367044890775854,0.0421443969345531,True,False,False,False,Lexeme >PS/ (noun) rate per 1k words
lex::>MH=/,0.4362146622335136,0.0424020514946745,True,False,False,False,Lexeme >MH=/ (noun) rate per 1k words
lex::YR====/,-0.4323739358094827,0.0444651385671439,True,False,False,False,Lexeme YR====/ (proper-noun) rate per 1k words
morph::prs_rate,-0.4300651446305609,0.0457423925764657,True,False,True,True,Words carrying pronominal suffix rate per 1k words
lex::>LH,0.4284508287086392,0.0466522516273971,True,False,True,True,Lexeme >LH (dem-pronoun) rate per 1k words
lex::MCTH/,0.4276937849639179,0.0470837429939561,True,False,False,False,Lexeme MCTH/ (noun) rate per 1k words
lex::MDBR/,-0.4275826596402349,0.0471473406049278,True,False,False,False,Lexeme MDBR/ (noun) rate per 1k words
lex::BQR=/,-0.4258768228216064,0.0481319845577502,True,False,False,False,Lexeme BQR=/ (noun) rate per 1k words
lex::PXH/,0.4258383138863431,0.0481543950941425,True,False,False,False,Lexeme PXH/ (noun) rate per 1k words
lex::YJWN==/,-0.4239868429564025,0.0492414407192088,True,False,False,False,Lexeme YJWN==/ (proper-noun) rate per 1k words
lex::CM<[,-0.4232835654773852,0.0496592915996105,True,False,False,False,Lexeme CM<[ (verb) rate per 1k words
lex::>SP[,-0.4220988282552792,0.0503693947920711,True,False,False,False,Lexeme >SP[ (verb) rate per 1k words
