feature,rho,p_raw,rank,p_bh,bh_significant,loo_frac,loo_robust,passes,description
lex::<MD[,0.5652912152498961,0.006114462314837651,41,0.11110425425741584,False,1.0,True,True,Lexeme <MD[ (verb) rate per 1k words
lex::DM/,-0.5642380461158151,0.006231436227760222,42,0.11053380927812775,False,1.0,True,True,Lexeme DM/ (noun) rate per 1k words
lex::N>M/,-0.5526844695896985,0.007641125362076076,43,0.1323869394127134,False,1.0,True,True,Lexeme N>M/ (noun) rate per 1k words
lex::MLKH/,0.5519665311494277,0.00773676185326114,44,0.1309974450154443,False,1.0,True,True,Lexeme MLKH/ (noun) rate per 1k words
lex::T<H[,-0.5503405913062352,0.007957010732113932,45,0.13173273323166398,False,1.0,True,True,Lexeme T<H[ (verb) rate per 1k words
vt::perf,-0.5498730430033323,0.008021293574725231,46,0.12991008072109342,False,1.0,True,True,Verb form perf rate per 1k words
lex::L>,-0.5498730430033323,0.008021293574725231,47,0.12714603645043185,False,1.0,True,True,Lexeme L> (negator) rate per 1k words
lex::PRS=/,0.5479452638943982,0.008290884811945586,48,0.1286814413520721,False,1.0,True,True,Lexeme PRS=/ (proper-noun) rate per 1k words
lex::GWJ/,-0.5465346753333381,0.00849284520215387,49,0.12912591174703336,False,1.0,True,True,Lexeme GWJ/ (noun) rate per 1k words
lex::W,0.5459171218306464,0.008582529846137634,50,0.12787969470745075,False,1.0,True,True,Lexeme W (conj) rate per 1k words
lex::>CWR/,-0.5400419434734404,0.009475429652361027,51,0.13841559001978362,False,1.0,True,True,Lexeme >CWR/ (proper-noun) rate per 1k words
lex::>XD/,0.5395306731886568,0.009556611653778564,52,0.1369168400397121,False,1.0,True,True,Lexeme >XD/ (noun) rate per 1k words
lex::CMRWN/,-0.5346319271567876,0.010363824187251514,53,0.14568017017929014,False,1.0,True,True,Lexeme CMRWN/ (proper-noun) rate per 1k words
lex::BMH/,-0.5325876690060342,0.01071680672661831,54,0.14785224095056743,False,1.0,True,True,Lexeme BMH/ (noun) rate per 1k words
lex::<ZRJH/,0.5307484857796162,0.011042739160730595,55,0.14957892135898715,False,1.0,True,True,Lexeme <ZRJH/ (proper-noun) rate per 1k words
lex::JCB[,-0.529528305543805,0.01126341876486608,56,0.14984369606830766,False,1.0,True,True,Lexeme JCB[ (verb) rate per 1k words
lex::RJB[,-0.5287834713702767,0.011399892689907966,57,0.14899859743827076,False,1.0,True,True,Lexeme RJB[ (verb) rate per 1k words
