source,map_bce,ci_lo,ci_hi,n_words
D,554.3859649122808,603.3834586466165,508.2706766917293,20128
P,666.7919799498746,707.1428571428571,623.5588972431077,53645
JE,707.1428571428571,747.4937343358396,663.9097744360902,41300
Genesis,566.4440734557596,606.7612687813022,524.2070116861436,28764
Exodus,601.0016694490819,660.517529215359,541.4858096828048,23748
Leviticus,493.4891485809683,545.3255425709516,441.652754590985,17099
Numbers,361.01836393989987,405.17529215358934,318.7813021702838,23188
Deuteronomy,556.8447412353923,602.9215358931552,510.7679465776294,20128
