variant,n_train,n_train_chunks,n_test,mae,mae_baseline,rho,mean_shift,median_shift,n_early
A  as-received manifest labels,42,4263,14,150.13226861439153,238.42517006802726,0.6453208389443973,-216.21428571428572,-216.5,13
B  strict: classicizing authors reclassified,34,3596,22,113.64462418855494,218.10726643598616,0.7630333180295796,-305.54545454545456,-341.0,22
C  date-blind: train only on <= 50 CE,26,3225,11,120.62255692760087,149.03846153846155,0.6189426979098839,-411.54545454545456,-473.0,10
