id,register,holdout,date_ce,author,dual_rate,goun_toinun_rate,hina_rate,tt_ss_ratio,men_rate,oun_rate,opt_rate,ptcp_rate,kai_rate,de_rate,avg_sent_len,idou_rate,eipen_rate,kai_sent_initial
herodotus_histories,ancient_Attic,False,-440,Herodotus,7.93946009232214,0.12195791232445684,0.6829643090169583,0.10054988216802785,13.921495691836748,0.0,79.3397198626754,164.50902793445982,42.160850290564724,42.19743766426206,17.78644251626898,0.0,0.1463494947893482,0.044902386117131786
thucydides_history,ancient_Attic,False,-410,Thucydides,8.973548281668526,0.14920389066907289,0.3410374643864523,0.10698096101531553,12.12814482724321,1.6412427973598016,110.54587309143356,182.46925334110142,69.71374167833062,25.54939004028505,10.178406132484813,0.0,0.0,0.11194677466010182
lysias_orations,ancient_Attic,False,-390,Lysias,7.198228128460687,2.7685492801771874,3.3222591362126246,0.9166666665902777,14.950166112956811,4.4296788482834994,93.57696566998892,168.88150609080841,44.296788482835,21.040974529346624,9.121212121212121,0.0,0.0,0.07575757575719315
xenophon_anabasis,ancient_Attic,False,-370,Xenophon,8.774814023262504,0.3493485676708725,0.4931979778882907,0.7424242424219927,14.15889194854301,3.24688668776458,117.2989190744318,180.69540914882248,61.21819900538408,34.46220870494431,15.009870450339296,0.0,0.061649747236036334,0.15638494756318433
xenophon_hellenica,ancient_Attic,False,-355,Xenophon,9.447490510333193,0.2361872627583298,0.37115141290594683,0.8883826879250835,18.523829607760437,2.5137072964993674,118.4141712357655,195.14129059468578,57.69717418810628,35.546183045128636,18.11583129584352,0.0,0.05061155630535639,0.1399755501222066
plato_republic,ancient_Attic,False,-375,Plato,8.539818963152602,1.1703392155069947,0.8411813111456524,0.9778481012627284,12.361707963792632,6.473438785773064,105.76940660144464,164.85325043430558,63.14345798665082,18.048825089146934,17.004042288557216,0.0,0.2011520526652647,0.08893034825867882
plato_laws,ancient_Attic,False,-350,Plato,8.123148729916524,0.25431589025521345,0.38895371450797356,0.947867298575953,12.835472578763127,3.081710199563175,98.19585315501301,200.75995571911557,55.695179965891754,27.241719773808455,24.620994475138122,0.0,0.02991951650061335,0.05893186003681071
isocrates_panegyricus,ancient_Attic,False,-375,Isocrates,14.112903225806452,2.0161290322580645,0.0,0.999999999875,27.217741935483872,7.056451612903226,97.78225806451613,168.34677419354838,45.36290322580645,26.20967741935484,17.714285714285715,0.0,0.0,0.07142857142729592
demosthenes_philippics,ancient_Attic,False,-350,Demosthenes,7.277137659187385,1.8192844147968463,2.425712553062462,0.9999999999090909,10.309278350515463,2.425712553062462,130.98847786537294,192.23771983020012,57.61067313523347,8.489993935718617,19.63095238095238,0.0,0.0,0.10714285714158163
aeschines_orations,ancient_Attic,False,-345,Aeschines,3.4796573875803,0.2676659528907923,0.5353319057815846,0.9615384615014793,14.721627408993577,1.8736616702355462,100.6423982869379,179.33618843683084,66.64882226980728,22.483940042826553,22.238095238095237,0.0,0.0,0.16666666666567462
andocides_orations,ancient_Attic,False,-400,Andocides,8.661222469685722,4.2068794852759215,1.2373174956693886,0.9999999999333333,18.80722593417471,6.928977975748577,108.63647611977233,174.21430339024994,46.02821083890126,27.715911902994307,15.423664122137405,0.0,0.0,0.08778625954164967
aristotle_nicomachean,ancient_Attic,False,-335,Aristotle,10.633731366580816,0.273160071802076,0.273160071802076,0.988603988601172,16.799344415827676,5.9704987122453765,119.83922578631079,150.8428939358464,67.54858346991337,28.83789900881917,13.976547586583038,0.0,0.0,0.060539950913536804
