chunk_id,unit,date_bce,sigma,genre,register,n_words,frac_ani,rate_anochi,rate_ani,frac_she,rate_asher,frac_ein,rate_neg_al,frac_neg_al,rate_neg_lo,rate_ki,rate_gam,rate_lakhen,rate_hinne,rate_atta,rate_az,rate_af,rate_wayyiqtol,rate_qatal,rate_yiqtol,rate_ptca,rate_ptcp,rate_inf_abs,rate_inf_con,rate_impv,rate_jussive,rate_cohort,rate_qal,rate_hiphil,rate_piel,rate_niphal,rate_hithpael,rate_hophal,frac_baqash,rate_baqash,rate_shaal,frac_qahal,rate_hayah,rate_amar,rate_natan,rate_halak,rate_const,rate_prs,rate_pl_noun,rate_f_noun,frac_anachnu,rate_pen,rate_terem,rate_na,frac_halak_piel,frac_ysf_qal,frac_niphal,frac_yld_nif,frac_zaqaq,rate_ut_nouns,frac_nmcl,frac_fronted,frac_cpen,frac_ptcp_cl,frac_infc,frac_wqtl_wayq,rate_cpen_1k,frac_sv,frac_null_subj,frac_ov
Amos_c000,Amos,760,20,prophecy,SBH,1017,0.2,3.9331366764995086,0.9832841691248771,0.0,9.83284169124877,0.0967741935483871,2.949852507374631,0.0967741935483871,27.53195673549656,4.916420845624385,1.9665683382497543,0.9832841691248771,1.9665683382497543,0.0,0.0,0.9832841691248771,6.88298918387414,76.6961651917404,44.24778761061947,16.715830875122908,0.9832841691248771,0.9832841691248771,17.699115044247787,15.732546705998034,0.0,0.0,113.07767944936087,40.31465093411996,16.715830875122908,9.83284169124877,0.0,0.0,,0.0,0.0,,1.9665683382497543,18.682399213372666,2.949852507374631,4.916420845624385,97.34513274336283,86.5290068829892,83.57915437561455,79.64601769911505,,0.0,0.0,0.0,0.0,,0.0546448087431694,,,2.949852507374631,,,,,,,0.0,,,
Amos_c001,Amos,760,20,prophecy,SBH,1006,0.0,1.9880715705765406,0.0,0.0,4.970178926441352,0.08,5.964214711729622,0.20689655172413793,22.86282306163022,15.904572564612325,0.9940357852882703,4.970178926441352,7.952286282306162,0.9940357852882703,0.0,0.9940357852882703,11.928429423459244,64.61232604373758,44.73161033797217,38.767395626242546,1.9880715705765406,1.9880715705765406,12.922465208747514,20.874751491053676,0.0,0.0,144.1351888667992,31.80914512922465,8.946322067594433,10.934393638170976,0.9940357852882703,0.9940357852882703,,0.0,0.0,,6.958250497017893,20.874751491053676,0.0,1.9880715705765406,74.55268389662027,81.51093439363817,66.60039761431412,52.68389662027833,,0.9940357852882703,0.0,1.9880715705765406,0.0,0.0,0.05527638190954774,,,0.9940357852882703,,,,,,,0.0,,,
Amos_c002,Amos,760,20,prophecy,SBH,757,0.0,5.284015852047556,0.0,0.0,3.963011889035667,0.0,6.605019815059445,0.2,26.42007926023778,6.605019815059445,0.0,1.321003963011889,6.605019815059445,1.321003963011889,0.0,0.0,13.21003963011889,62.087186261558784,58.124174372523115,31.704095112285337,0.0,2.642007926023778,14.531043593130779,7.926023778071334,0.0,0.0,118.89035667107001,35.667107001321,10.568031704095112,21.136063408190225,2.642007926023778,0.0,1.0,1.321003963011889,0.0,,1.321003963011889,15.852047556142669,1.321003963011889,2.642007926023778,72.6552179656539,77.93923381770146,51.51915455746367,58.124174372523115,,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,,,1.321003963011889,,,,,,,0.0,,,
Hosea_c000,Hosea,745,25,prophecy,SBH,1011,0.3333333333333333,3.956478733926805,1.9782393669634024,0.0,5.934718100890208,0.25806451612903225,10.880316518298715,0.3235294117647059,22.74975272007913,21.76063303659743,3.956478733926805,2.967359050445104,1.9782393669634024,1.9782393669634024,0.9891196834817012,0.0,19.782393669634025,70.2274975272008,64.29277942631057,15.82591493570722,0.9891196834817012,6.9238377843719086,6.9238377843719086,10.880316518298715,0.0,0.0,130.56379821958458,25.717111770524234,28.684470820969338,9.891196834817013,0.0,0.0,0.6666666666666666,1.9782393669634024,0.9891196834817012,,8.902077151335313,13.847675568743817,3.956478733926805,6.9238377843719086,79.1295746785361,142.433234421365,71.2166172106825,54.40158259149357,,0.9891196834817012,0.0,0.0,0.0,0.0,0.050505050505050504,0.25,,3.956478733926805,,,,,,,0.0,,,
Hosea_c001,Hosea,745,25,prophecy,SBH,1027,0.75,1.9474196689386563,5.8422590068159685,0.0,1.9474196689386563,0.17857142857142858,10.710808179162608,0.3235294117647059,22.39532619279455,24.342745861733203,3.8948393378773125,0.0,0.9737098344693281,6.815968841285297,0.0,0.9737098344693281,9.737098344693282,91.52872444011685,84.71275559883155,22.39532619279455,5.8422590068159685,0.9737098344693281,9.737098344693282,7.789678675754625,0.0,0.0,169.4255111976631,27.26387536514119,20.44790652385589,11.684518013631937,2.9211295034079843,0.0,1.0,2.9211295034079843,0.0,0.0,10.710808179162608,0.9737098344693281,0.9737098344693281,9.737098344693282,61.343719571567675,142.1616358325219,70.10710808179164,46.73807205452775,,0.0,0.0,0.0,0.0,,0.0502092050209205,0.0,,1.9474196689386563,,,,,,,0.0,,,
Hosea_c002,Hosea,745,25,prophecy,SBH,1108,0.4444444444444444,4.512635379061372,3.6101083032490977,0.0,3.6101083032490977,0.1,7.220216606498195,0.3076923076923077,16.24548736462094,19.855595667870038,3.6101083032490977,0.9025270758122744,0.0,2.707581227436823,0.0,2.707581227436823,12.63537906137184,61.371841155234655,98.3754512635379,21.660649819494584,4.512635379061372,2.707581227436823,12.63537906137184,13.537906137184116,0.0,0.0,157.03971119133575,24.368231046931406,22.56317689530686,10.830324909747292,1.8050541516245489,3.6101083032490977,,0.0,0.0,,6.31768953068592,6.31768953068592,6.31768953068592,4.512635379061372,54.151624548736464,159.74729241877256,75.81227436823104,52.34657039711192,,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,,2.707581227436823,,,,,,,0.0,,,
Micah_c000,Micah,725,25,prophecy,SBH,1014,0.0,0.9861932938856016,0.0,0.0,7.889546351084813,0.13636363636363635,4.930966469428008,0.20833333333333334,18.737672583826427,17.75147928994083,0.0,4.930966469428008,1.9723865877712032,3.9447731755424065,0.9861932938856016,0.0,3.9447731755424065,64.1025641025641,69.03353057199212,41.42011834319527,1.9723865877712032,3.9447731755424065,3.9447731755424065,14.792899408284024,0.0,0.0,137.08086785009863,30.57199211045365,16.765285996055226,14.792899408284024,1.9723865877712032,1.9723865877712032,,0.0,0.0,1.0,7.889546351084813,7.889546351084813,1.9723865877712032,9.861932938856016,80.86785009861933,97.63313609467455,75.93688362919131,57.19921104536489,1.0,0.0,0.0,1.9723865877712032,0.0,,0.07281553398058252,0.0,,0.9861932938856016,,,,,,,0.0,,,
Micah_c001,Micah,725,25,prophecy,SBH,881,1.0,0.0,2.2701475595913734,0.0,9.080590238365494,0.21428571428571427,2.2701475595913734,0.15384615384615385,12.485811577752553,17.0261066969353,1.1350737797956867,1.1350737797956867,0.0,4.540295119182747,0.0,2.2701475595913734,3.40522133938706,55.61861520998865,86.2656072644722,32.91713961407491,1.1350737797956867,2.2701475595913734,12.485811577752553,12.485811577752553,0.0,0.0,148.69466515323495,31.782065834279226,17.0261066969353,4.540295119182747,3.40522133938706,0.0,0.0,0.0,1.1350737797956867,,12.485811577752553,2.2701475595913734,5.675368898978434,2.2701475595913734,87.40068104426787,138.4790011350738,82.86038592508513,76.049943246311,,0.0,0.0,2.2701475595913734,0.0,,0.02197802197802198,0.0,,2.2701475595913734,,,,,,,0.0,,,
Isaiah_1_c000,Isaiah_1,720,30,prophecy,SBH,1006,,0.0,0.0,0.0,7.952286282306162,0.34782608695652173,5.964214711729622,0.2857142857142857,14.910536779324055,17.892644135188867,0.9940357852882703,0.9940357852882703,0.9940357852882703,0.9940357852882703,0.0,0.9940357852882703,4.970178926441352,61.63021868787277,53.6779324055666,38.767395626242546,3.976143141153081,1.9880715705765406,14.910536779324055,19.880715705765407,0.0,0.0,124.2544731610338,24.85089463220676,13.916500994035786,27.833001988071572,1.9880715705765406,0.9940357852882703,1.0,0.9940357852882703,0.0,,11.928429423459244,4.970178926441352,0.9940357852882703,5.964214711729622,97.41550695825049,96.42147117296223,92.44532803180914,70.57654075546719,,0.0,0.0,0.9940357852882703,0.0,0.0,0.13930348258706468,,,2.982107355864811,,,,,,,0.0,,,
Isaiah_1_c001,Isaiah_1,720,30,prophecy,SBH,1001,0.3333333333333333,1.998001998001998,0.999000999000999,0.0,1.998001998001998,0.26666666666666666,0.999000999000999,0.08333333333333333,10.989010989010989,8.991008991008991,0.999000999000999,2.997002997002997,3.996003996003996,1.998001998001998,0.0,2.997002997002997,19.98001998001998,43.956043956043956,54.94505494505494,32.96703296703297,4.995004995004995,4.995004995004995,10.989010989010989,1.998001998001998,0.0,0.0,112.88711288711288,18.98101898101898,23.976023976023978,17.982017982017982,0.0,0.999000999000999,,0.0,0.0,,11.988011988011989,6.993006993006993,0.0,2.997002997002997,81.91808191808192,91.9080919080919,74.92507492507492,80.91908091908091,,0.0,0.0,2.997002997002997,0.0,,0.10285714285714286,,,1.998001998001998,,,,,,,0.0,,,
