frac,n_feats,rho_genre,pair,gap,lo,hi,p
1.0,578,0.40406909121005397,Deuteronomic law code vs frame,97.47966993337616,27.09094472601956,129.37552395220592,0.006751426870487868
1.0,578,0.40406909121005397,Holiness Code vs Leviticus 1-16,79.1094519800181,37.98410124749948,144.77704181255524,0.01578487986120619
1.0,578,0.40406909121005397,Genesis JE vs Exodus JE,70.6760438730488,13.245155439233827,119.81773818343277,0.038770143336905115
0.75,434,0.4215881706890913,Deuteronomic law code vs frame,6.613858141824721,-77.9047668203404,72.66890529948938,0.5836673142120433
0.75,434,0.4215881706890913,Holiness Code vs Leviticus 1-16,-53.4968433556393,-213.99727166403594,52.408985727973175,0.14963376477818585
0.75,434,0.4215881706890913,Genesis JE vs Exodus JE,9.696480311777236,-96.19634858442919,114.50629650735965,0.994731914428296
0.5,289,0.5114440944686698,Deuteronomic law code vs frame,-156.37580111658428,-253.45040910771934,-31.81937661219598,0.005065923476836044
0.5,289,0.5114440944686698,Holiness Code vs Leviticus 1-16,-17.129232090551795,-221.78264265018362,86.42169136498381,0.25368944060897114
0.5,289,0.5114440944686698,Genesis JE vs Exodus JE,25.544024592233427,-105.91265156702491,156.5942506630165,0.4320367719930286
