target,kind,p,calib,mae,rho,rho_p,pair,cov,lo_calls,lo_ok,hi_calls,hi_ok,pmin,pmax
1000,base,579,False,104.8442155696809,0.5637277538737254,0.003338522243540859,0.6949152542372882,0.6042701452388004,4,1,10,8,344.73973786220836,736.4062018666909
1000,base,579,True,97.3531326043628,0.5583369146973374,0.0037242068308753814,0.6847457627118644,0.6409150247229931,1,0,12,9,308.9168484910383,716.6187973596341
1000,ngram,689,False,95.83825169981785,0.5883715901086424,0.0019771101735459387,0.7084745762711865,0.5292364594693244,3,0,12,9,309.2238741529661,631.83836304396
1000,ngram,689,True,98.53859361982545,0.601463628108442,0.001471289307005763,0.7084745762711865,0.6660097584026027,2,0,13,9,213.65048228264362,632.1947117265072
1000,both,1268,False,94.04533092509683,0.6172510856964356,0.0010126489816834096,0.7152542372881356,0.5810864936632246,3,0,9,8,295.66310092431263,652.5265658937758
1000,both,1268,True,96.47072174374463,0.6207166251669708,0.0009304460062282201,0.7186440677966102,0.6845796329533945,3,0,13,9,210.7966066027845,646.7024156447073
