target,kind,mode,alpha,mae,rho,pair,cov,pmax,pmin
1000,both,none,0.0,94.04533092509683,0.6172510856964356,0.7152542372881356,0.5810864936632246,652.5265658937758,295.66310092431263
1000,both,none,1.0,96.27830461523219,0.5956877289908833,0.711864406779661,0.6636527322414962,650.7873528175381,253.7019953539604
1000,both,reg,0.0,96.47072174374465,0.6207166251669708,0.7186440677966102,0.6845796329533945,646.7024156447073,210.79660660278455
1000,both,reg,0.5,98.35676313190542,0.5891417099909835,0.7050847457627119,0.6703859799107901,644.9569279661285,207.26243570817866
1000,both,reg,1.0,98.79229717210983,0.601463628108442,0.711864406779661,0.6535089294360977,641.8324841080675,216.6647643711862
1000,both,var,0.0,109.94482675806516,0.6503662406371054,0.7288135593220338,1.0952460406240527,720.5128802063077,16.896467672145036
1000,both,var,0.5,110.77227840176933,0.6380443225196468,0.7220338983050848,1.092685002678107,721.7508994202163,1.9862010523979166
1000,both,var,1.0,112.34636499422811,0.6049291675789772,0.7152542372881356,1.094712396240923,721.7997324725494,2.100499957653483
500,base,none,0.0,98.6003271034964,0.6615329789310521,0.7322033898305085,0.47559086902637815,627.1602249567707,370.0495888984789
500,base,none,1.0,92.88255860055204,0.7015792128127921,0.7491525423728813,0.5469311132934694,620.9767995345115,326.0730187470724
500,base,reg,0.0,97.376606443442,0.6661536982250991,0.7288135593220338,0.656521409694582,642.729591620591,280.0925270740454
500,base,reg,0.5,96.36390643966882,0.6680789979309518,0.7322033898305085,0.6448066060186229,639.4610475065656,280.9527425891499
500,base,reg,1.0,95.78897197391407,0.676165256695534,0.735593220338983,0.6243762228183977,635.5823317268581,284.5901087935245
500,base,var,0.0,120.75371591311556,0.6830963356366044,0.7423728813559322,1.0816529317486794,722.7292267630609,133.00695339865837
500,base,var,0.5,120.42130898309598,0.6877170549306513,0.7423728813559322,1.0868886982333827,721.3217022120182,122.65391145909041
500,base,var,1.0,120.78885877307741,0.7000389730481098,0.752542372881356,1.0778540007100625,719.0991357510975,125.90351745407003
