test,draws,p
within-genre,50,0.058823529411764705
within-genre,100,0.039603960396039604
within-genre,150,0.033112582781456956
within-genre,200,0.024875621890547265
within-genre,250,0.0199203187250996
within-genre,300,0.016611295681063124
free shuffle,100,0.009900990099009901
free shuffle,200,0.004975124378109453
free shuffle,300,0.0033222591362126247
