residual
1.487159404403930694e+02
1.929412451167763720e+02
1.069269278282820324e+02
2.902400230132359411e+02
3.303929252675334283e+01
3.702879358240841157e+01
8.668690778346876868e+01
1.374439274547767127e+02
1.150429628229014725e+02
4.294352473599985842e+01
1.305382416356953854e+02
9.067895836908041929e+01
5.730431758713007184e+01
1.728377644779549200e+02
5.477535841905205416e+01
1.197506343292377551e+02
2.309297466400901726e+02
2.264065702144997658e+02
2.012065576367501762e+02
6.456629832406747482e+00
1.577414013592596120e+02
1.402201014428782173e+02
2.995407127138966530e+02
7.034614582674407757e+01
3.255037245878543217e+01
