size,frac,alpha,calib,n_feats,mae,rho_raw,rho_genre,rho_proph,pair,JE_source_pred,JE_source_lo,JE_source_hi,JE_source_ppost,D_source_pred,D_source_lo,D_source_hi,D_source_ppost,P_source_pred,P_source_lo,P_source_hi,P_source_ppost,Song_Sea_pred,Song_Sea_lo,Song_Sea_hi,Song_Sea_ppost,Song_Deborah_pred,Song_Deborah_lo,Song_Deborah_hi,Song_Deborah_ppost,D_Code_pred,D_Code_lo,D_Code_hi,D_Code_ppost,D_Frame_pred,D_Frame_lo,D_Frame_hi,D_Frame_ppost
400,1.0,1.0,var,579,116.24327448622455,0.5756646120500133,0.13111053029473083,0.11165652576805134,0.7050847457627119,405.2824696968197,114.85041910896535,668.3961772437387,0.9,393.11261893316885,107.5693769156261,655.8518421598246,0.9,340.78055418584097,71.67717260573016,578.6235009353531,0.94,657.466089143324,328.12875503311983,889.129399758742,0.36,812.6228255421439,527.2083045418402,1012.6088279012372,0.1,418.4798812503763,126.17308494765803,655.1306961875864,0.88,355.03050978864803,107.5693769156261,646.1395656988846,0.9
400,1.0,1.0,none,579,100.12826784637348,0.5756646120500133,0.13111053029473083,0.11165652576805134,0.7050847457627119,459.408175163406,211.38650501936252,659.548338120574,0.86,452.19586453398415,207.17661516219096,654.1316033084292,0.86,426.053255567021,197.86941721399847,648.801307932987,0.88,597.5631605772398,334.70378286495907,788.2797620307798,0.44,682.481813185111,472.67253891786703,899.7311030969735,0.2,467.23111034921584,217.93325681734848,680.6603229925518,0.84,431.54940421154777,207.17661516219096,651.7913481865858,0.88
400,1.0,0.0,var,579,117.29249249263526,0.6311132435785765,0.24470198111042432,0.22085906195878285,0.7186440677966102,402.1536812884825,173.12591703494041,637.6436754296203,0.9,377.41858010954735,131.361184986254,611.290249927581,0.9,346.46403453742994,108.91642509155452,584.758752152238,0.94,653.647524021564,403.0008360282793,903.9153415532892,0.38,782.8789629421588,555.4143763533701,1034.7916488930714,0.1,413.10814309880726,182.38772037907017,642.1016716734396,0.9,342.9839889652899,107.70460881995314,597.0305606317066,0.9
400,1.0,0.0,none,579,102.42315670109546,0.6311132435785765,0.24470198111042432,0.22085906195878285,0.7186440677966102,476.94948739769785,262.5529820799144,686.460683789703,0.8,466.1384819601686,241.9043872679174,674.9284956662602,0.8,450.34885427539007,237.79299917045086,668.3026023140796,0.82,601.2635980962407,374.61295430715586,792.1929817193391,0.44,660.5475400262712,444.56483716850005,882.7793864324807,0.24,482.8514583493194,267.1320423324355,703.8347797998173,0.8,448.8034409638702,230.20851297552014,660.8936446464311,0.82
400,0.75,1.0,var,434,96.77771705988536,0.6726997172249988,0.3910710644998005,0.3680984365979714,0.7559322033898305,400.19914594239253,194.33267938831221,594.9644593876332,0.88,353.2149909123906,151.2667833565792,559.5812082118155,0.94,308.2968186353663,109.2630003428834,531.9958519565864,0.96,584.9689638988871,301.66033082992965,799.3570301453021,0.56,709.7380390680355,499.9503614084347,903.5742729815884,0.24,322.04674033052936,121.45404649194785,563.0641248129728,0.98,380.95815483492413,167.74800467009953,584.6312968598693,0.94
400,0.75,1.0,none,434,86.38899265928349,0.6726997172249988,0.3910710644998005,0.3680984365979714,0.7559322033898305,449.97922856597387,259.8806909827618,669.7955813519427,0.9,421.58178279092164,233.53432839970992,644.2484326647782,0.9,393.56974832184403,212.3598731669756,611.6528486085972,0.9,574.0345489662176,378.8998873578796,792.0336482521399,0.6,660.3690597735358,444.0704181755409,839.9498445553152,0.26,400.62287727103103,221.5584220060748,611.8268988589571,0.9,439.6119485061387,236.10696433599765,646.765774467784,0.9
400,0.75,0.0,var,434,89.02079177406691,0.678090556401387,0.4029388280178581,0.32515361899487477,0.7593220338983051,410.34068320260405,211.6020656796319,604.6687529221754,0.92,364.3805430829324,157.81547515179204,554.8716217195625,0.94,331.56516916221284,139.44939003478993,523.6809482896358,0.96,587.3295191360178,340.875427596133,821.2702308257037,0.56,728.4761479507487,499.287710189433,926.1713017283587,0.2,331.9149222230581,126.96087354653628,511.1924318013821,0.98,389.96495964205843,165.79702489819886,588.6040246383532,0.92
400,0.75,0.0,none,434,87.40857959548033,0.678090556401387,0.4029388280178581,0.32515361899487477,0.7593220338983051,469.85830402824456,289.8536153096234,665.2148551677988,0.84,440.0975457270806,258.56733318695797,642.458181911381,0.88,419.73704040705445,242.0157431962569,611.1725721825122,0.9,586.2300229856934,327.4524502766624,797.1766966429059,0.52,677.0814431777771,477.85874472055525,842.4766221978068,0.22,419.70407222660305,242.19947907567672,626.666461805572,0.92,459.0879910943857,260.1093900144985,644.0002387389216,0.88
400,0.5,1.0,var,290,101.67810251489396,0.6757801967543635,0.428934881438365,0.46135004053612416,0.7559322033898305,502.2845145508874,257.99561569738745,680.5250011925214,0.74,420.5617495944976,216.74041078720637,596.4176478433619,0.92,442.3490828552035,165.1378350089281,596.1593281983942,0.92,749.1468704474332,545.7134412000139,1072.9087264925397,0.14,909.1840179819875,699.3661247855674,1113.4425845985015,0.0,322.3789337047405,131.08781035920816,517.9325041219236,0.98,476.61128555613334,235.80849034453365,664.6413951825416,0.76
400,0.5,1.0,none,290,103.32514007540652,0.6757801967543635,0.428934881438365,0.46135004053612416,0.7559322033898305,511.81582205266193,333.3118952853771,690.3197488199468,0.7,464.3288654121594,279.4400342314136,633.4570660290906,0.84,477.55555581865855,294.580924302946,646.8369121725927,0.82,651.4653636680027,488.5634560244123,880.6652649747606,0.26,749.3561920140917,561.0707222820233,916.7507276745424,0.12,408.1551289214032,210.95420977268572,566.3576685936972,0.94,496.7248479500187,320.21793351487185,670.2651827977272,0.76
400,0.5,0.0,var,290,110.94386285713006,0.6130154263435593,0.3848546169427227,0.41472423856704776,0.7322033898305085,495.2180017681878,285.33700198640986,721.6596129810641,0.7,419.1653744614303,203.88688340138833,607.5922562972604,0.92,454.98989084490233,159.82038594598487,663.4297233370348,0.86,785.7686810765231,529.3075641494404,1116.478132825409,0.12,873.5397414690515,631.1609041696279,1144.1788301081406,0.0,311.7385529172725,98.24725371564904,514.3880399882152,0.94,455.7468186608598,238.86596720704972,671.5755420410912,0.82
400,0.5,0.0,none,290,109.95945053042183,0.6130154263435593,0.3848546169427227,0.41472423856704776,0.7322033898305085,529.3537023245752,332.9653890863523,719.3055243098015,0.62,482.662318351634,278.0461756535584,655.8385087536385,0.78,502.24551491829584,296.92958578728616,707.5614440493055,0.68,682.8457439469898,480.2921178881568,902.8546988382542,0.24,732.0786450747335,528.8843475851104,947.0162985261746,0.16,429.0208190387529,224.4835030981493,609.3529669867839,0.92,506.52884255933986,316.59633418577863,707.3878512160636,0.72
500,1.0,1.0,var,578,117.68484639695264,0.6649985184015873,0.40406909121005397,0.37791439490725065,0.7288135593220338,425.138259764911,172.85288053556218,618.7723620977413,0.86,378.42523301431623,113.11763798901359,571.3664781310927,0.94,343.92278116177454,71.65536321174756,535.3257173350238,0.96,638.389129027686,401.91680765435336,839.9646517699749,0.38,808.6799381658293,575.9184177977413,1009.8444609956473,0.1,421.05697387431985,157.5946090955743,619.4541023757536,0.84,332.33729698272987,100.84893658063874,530.3625435896029,0.96
500,1.0,1.0,none,578,93.95576848395675,0.6649985184015873,0.40406909121005397,0.37791439490725065,0.7288135593220338,464.4700368839029,268.40187717578624,649.0501247482382,0.84,438.4975981856065,246.1864923479087,627.839891780872,0.86,418.57043543032637,225.29699222887723,605.9452398013292,0.88,588.0468874857058,385.7968967930541,756.8369980696881,0.48,680.5942912160725,477.1072529716096,861.0241823405084,0.2,462.6967199580272,273.61779879853054,666.5484723383863,0.84,413.6713805275716,223.71119790679802,604.5936245060261,0.88
500,1.0,0.0,var,578,118.74983921139182,0.6511363605194466,0.29782435114363426,0.29693273885569693,0.7186440677966102,409.1451066143469,172.2885102890806,643.7791582999164,0.84,353.4652187602277,110.87926735332547,583.6222849457764,0.94,335.44452195489816,90.164339067941,563.8158710512323,0.94,640.7850449539643,401.34968997416274,880.6536961339408,0.34,791.4399446086338,546.5148177250959,1023.2813952248503,0.08,414.0453914943983,171.9241627647669,653.7674655553681,0.84,316.16239900524454,90.4423894606378,542.6817614784451,0.96
500,1.0,0.0,none,578,98.78933049518736,0.6511363605194466,0.29782435114363426,0.29693273885569693,0.7186440677966102,479.5460676156656,272.68222514697175,689.8530263634453,0.8,451.8787390904817,250.24765742595338,667.5324621441657,0.8,444.0602196471607,243.6430922164185,660.8138934328921,0.8,591.2209738802284,375.43685918884296,782.9433427140091,0.5,665.6827076066014,450.3797321058628,867.5505333223364,0.2,483.20930728207776,281.6663144521076,699.9686103058589,0.8,434.625623730792,235.44709676158578,651.5783832017269,0.84
500,0.75,1.0,var,434,99.59376522655077,0.7285334086947326,0.4063296175944459,0.44049112912890587,0.7830508474576271,479.9982326442844,233.71485505898067,710.8317189844842,0.8,369.7527578841707,128.8879965671166,567.7575013614703,0.94,324.21027511964894,76.88511707603959,543.5140650489459,0.96,652.9631494116234,422.9390936104442,875.4622325481496,0.28,803.6812057963684,586.2046236539459,1007.8965999548012,0.06,370.1005801376331,144.47403865561495,564.3385009590786,0.94,368.2495218335343,130.02237852199988,588.4893214837839,0.92
500,0.75,1.0,none,434,90.18039888417799,0.7285334086947326,0.4063296175944459,0.44049112912890587,0.7830508474576271,499.59383313967544,299.1922192947254,716.7838840348253,0.84,426.41247562273657,204.13754960210042,635.1646025009709,0.9,396.98929285327705,217.94133318953527,608.5980637993981,0.92,609.2438874829711,435.8411424385707,805.264397758263,0.36,703.9145086900218,537.4933131066888,874.1942779009802,0.14,426.5269798608766,213.92103361559748,614.8203225101443,0.9,425.0351916304689,212.85287493648258,635.1646025009709,0.9
500,0.75,0.0,var,434,103.67122264713024,0.6892572946953337,0.32890658892902297,0.35214750434539266,0.752542372881356,483.1788879424335,229.17779833400874,711.7971792777764,0.78,363.2376484118579,119.21221009598628,578.2857366225171,0.96,330.0501991477255,85.0324299088611,543.5043797705396,0.96,651.2961559163398,435.2645339800637,887.9079354507144,0.28,792.623077309401,590.8027570472138,1042.6916563393972,0.06,356.7241139240243,127.33804725221637,588.0608960207262,0.92,360.83217293444955,129.06450479619372,578.2857366225171,0.96
500,0.75,0.0,none,434,96.10094451920926,0.6892572946953337,0.32890658892902297,0.35214750434539266,0.752542372881356,519.2658699369169,323.570745961293,718.6949478839789,0.68,445.08912800943693,238.15499042037158,640.2236673913001,0.88,421.978249474823,224.67835449615126,623.1528176704535,0.88,620.6582286928409,401.09049530042887,841.4076455549468,0.32,708.3869766028271,520.3384764816026,896.4796166286612,0.14,446.124462051847,245.64288800673262,644.0634832050541,0.88,444.42792414423667,238.15499042037158,640.2236673913001,0.88
500,0.5,1.0,var,289,94.51467173496661,0.7678095226941315,0.5753039648277413,0.6380372901031505,0.7864406779661017,615.4397510873573,431.46701386847207,795.7402237558191,0.44,449.99456602119506,262.895542066137,624.1369722306697,0.8,413.8141832842758,234.8659867411344,600.3535472467737,0.9,933.4306437386064,727.753607207519,1184.3950451640137,0.06,957.1567916052106,767.4575483003521,1157.5233865089454,0.0,352.7538942493719,166.97173511864167,537.3891777707838,0.96,483.9666519729792,297.13838402192414,695.2240055094528,0.74
500,0.5,1.0,none,289,91.37746589610089,0.7678095226941315,0.5753039648277413,0.6380372901031505,0.7864406779661017,552.5479356121966,345.6149289634245,710.1880476448786,0.58,467.67892328481423,278.33744499474517,624.6082777575376,0.88,444.94960069195565,263.5226764253821,615.8745060374417,0.9,726.6743338882708,567.5884681983246,921.6749839453396,0.1,732.9838354430618,559.8484190616656,906.119251824458,0.1,414.78358471999934,243.39179148487847,589.6626242476709,0.92,484.5423747847244,306.97120299966736,653.2420357624599,0.86
