target,kind,vm,p,mae,rho,rho_p,pair,cov,side,pre_ok,pre_n,post_ok,post_n,pmax,pmin,alpha_mode,bw_mode
500,base,True,579,125.8685141828169,0.6126303664023888,0.001131942260531443,0.7186440677966102,1.0976467636713727,0.76,6,8,13,17,720.4799144376326,120.08592212339101,0.5,60.0
500,base,False,579,100.50027670709156,0.5360034381094438,0.005749234379789753,0.6915254237288135,0.5258191966543727,0.72,4,8,14,17,628.6491302800957,344.28626156863294,0.5,60.0
500,both,True,1268,135.41014379097615,0.5953026690497126,0.0016934275908013696,0.7084745762711865,1.177656316959634,0.72,5,8,13,17,719.9715471720424,22.496616172824076,0.0,60.0
500,both,False,1268,105.60466689211074,0.5864462904027895,0.0020627731699430197,0.7152542372881356,0.4033817754679196,0.64,2,8,14,17,633.8369728776056,377.26327580337,0.0,60.0
1000,both,True,1268,130.8032787619387,0.5895267699321541,0.0019271873031468884,0.7050847457627119,1.1620995399891692,0.76,7,8,12,17,730.5525175148324,0.8504862056767024,1.5,60.0
1000,both,False,1268,102.17873106748064,0.5664231734619194,0.003158755289014309,0.7016949152542373,0.5175963026715316,0.64,1,8,15,17,633.9025005114779,270.520907096703,1.5,60.0
