unit,label,n,median,sd,iqr,pct_post,pctile
JE_source,JE composite,74,418.44331211558557,118.0662276626761,165.78995006872157,0.9459459459459459,0.8823529411764706
Gen_JE,Genesis JE,44,431.70100912227633,105.96172084274193,152.05489350488364,0.9545454545454546,0.7647058823529411
Exo_JE,Exodus JE,23,361.02496524922765,117.50735102917022,122.25678426162006,0.9130434782608695,0.8823529411764706
Num_JE,Numbers JE,7,442.69757820975246,168.9969628716345,206.25951842077245,0.7142857142857143,1.0
D_source,D source,39,371.5273171486003,76.3075423615024,112.08704652433795,1.0,0.35294117647058826
D_Code,"law code, Deut 12-26",14,421.54123301718187,68.48251567149134,67.06242936624113,1.0,0.29411764705882354
D_Frame,"frame, Deut 1-11 + 27-34",23,324.0615630838057,58.90705496626428,75.77693447761897,1.0,0.23529411764705882
P_source,P source,106,339.54805702787576,96.87444047658734,144.2430792949748,1.0,0.7058823529411765
Lev_Priestly,Leviticus 1-16,21,311.0506128839694,96.79003747093529,97.41010668148428,1.0,0.7058823529411765
Lev_Holiness,"Holiness Code, Lev 17-26",12,390.1600648639875,63.06345707399433,69.71804420237635,1.0,0.29411764705882354
Jer_DTR,Jeremiah Dtr prose,30,446.08306892848293,89.35784547123723,92.49969604846825,1.0,0.6470588235294118
