label,n_feats,n_books,mae,rho_raw,rho_genre,rho_proph,p_proph,pair,JE_source_pred,JE_source_ppost,D_source_pred,D_source_ppost,P_source_pred,P_source_ppost
A  baseline: everything,578,25,117.68484639695245,0.6649985184015873,0.40406909121005397,0.37791439490725065,0.1347547108921789,0.7288135593220338,418,0.84,372,0.96,340,0.96
"B  morphosyntax only, no lexemes",328,25,130.15522158166402,0.5375436778741262,0.13958750423620048,0.058895749855675424,0.822344274904871,0.6847457627118644,350,0.96,373,0.92,351,0.96
"C  lexemes only, no morphosyntax",250,25,104.3182664773956,0.6777054964602164,0.45775659283936193,0.4294481760309667,0.08537489581634199,0.7322033898305085,449,0.84,420,0.84,294,1.0
D  externally anchored books only,577,19,110.58116041272255,0.5917473746850197,0.051533781123715997,0.10178826685793495,0.7407320156535723,0.6923076923076923,476,0.79,432,0.84,354,1.0
E  morphosyntax only AND external anchors,327,19,114.7269997235263,0.6180862786027504,0.10920253619073153,0.21182963643408084,0.4872094773053044,0.727810650887574,381,0.95,370,0.95,297,1.0
