family,total,count,share
lexical,574.6427744433115,250,47.006149765759105
POS/bigram,401.20121359989315,207,32.81851816713536
verb morphology,113.10854831182115,57,9.252352240718144
phrase/clause,92.3946166770061,42,7.557939266314921
agreement/suffix,33.98646875450296,20,2.7801150755460493
structural,7.150621885558197,3,0.5849254845264255
