feature,yr_per_sd,family,abs
pb_nmpr_prde,-0.9796110912735246,POS/bigram,0.9796110912735246
pb_adjv_advb,0.979099090787161,POS/bigram,0.979099090787161
pb_conj_prps,-0.9754227656516008,POS/bigram,0.9754227656516008
pb_nmpr_subs,-0.9747459124078599,POS/bigram,0.9747459124078599
nu_pl,0.9697424407867735,agreement/suffix,0.9697424407867735
fun_Pred,0.9663377591656089,phrase/clause,0.9663377591656089
lex_>M/,0.958459980992345,lexical,0.958459980992345
lex_JC<[,-0.9581087648255358,lexical,0.9581087648255358
lex_JRD[,0.9576611985888823,lexical,0.9576611985888823
lex_>T,-0.9514728340597919,lexical,0.9514728340597919
lex_CKB[,0.9492703386010835,lexical,0.9492703386010835
lex_JKL[,-0.9429955910353537,lexical,0.9429955910353537
pb_nega_prde,-0.9396696072890075,POS/bigram,0.9396696072890075
lex_CNJM/,-0.9376299558317638,lexical,0.9376299558317638
pb_prde_subs,-0.9353357734309269,POS/bigram,0.9353357734309269
lex_RC</,-0.921982915702782,lexical,0.921982915702782
lex_>XR/,-0.9181366224010743,lexical,0.9181366224010743
lex_MQWM/,0.9154778023310863,lexical,0.9154778023310863
vsf_hof,0.9148257390121315,verb morphology,0.9148257390121315
pb_verb_inrg,0.8923879157990614,POS/bigram,0.8923879157990614
vx_ptca_piel,0.8823203544853885,verb morphology,0.8823203544853885
lex_>BN/,0.8798126169000974,lexical,0.8798126169000974
pdp_inrg,0.8792456582127216,POS/bigram,0.8792456582127216
pb_nmpr_intj,0.8582019702414923,POS/bigram,0.8582019702414923
lex_MDBR/,0.8549739625861135,lexical,0.8549739625861135
rela_RgRc,0.8539310213047028,phrase/clause,0.8539310213047028
lex_MZBX/,0.8517082165901151,lexical,0.8517082165901151
vx_impf_nif,0.8516658236673675,verb morphology,0.8516658236673675
vs_hof,0.8482850092994301,verb morphology,0.8482850092994301
lex_<Y/,-0.8437516267634013,lexical,0.8437516267634013
lex_NKH[,-0.8417999076235366,lexical,0.8417999076235366
lex_MH,-0.8401086304753693,lexical,0.8401086304753693
lex_CPV[,0.8329331755826518,lexical,0.8329331755826518
typ_IPrP,-0.8287080671420886,phrase/clause,0.8287080671420886
pb_adjv_art,-0.8245717739520839,POS/bigram,0.8245717739520839
fun_Subj,-0.8237472521665647,phrase/clause,0.8237472521665647
pdp_prps,-0.8230080692433563,POS/bigram,0.8230080692433563
lex_<WD/,0.8197918255747197,lexical,0.8197918255747197
lex_<WN/,0.8136030651107224,lexical,0.8136030651107224
pb_subs_nmpr,0.8106074003787093,POS/bigram,0.8106074003787093
pb_prep_subs,0.8081545909293321,POS/bigram,0.8081545909293321
lex_LXM/,0.7899242051336723,lexical,0.7899242051336723
lex_KRT[,0.773440290138968,lexical,0.773440290138968
pb_inrg_adjv,0.7719642353879617,POS/bigram,0.7719642353879617
typ_NegP,0.7663096603920987,phrase/clause,0.7663096603920987
pb_intj_conj,-0.7588284870596806,POS/bigram,0.7588284870596806
lex_RWX/,0.7571019204226836,lexical,0.7571019204226836
lex_ZKR[,0.7517624022960594,lexical,0.7517624022960594
lex_>JC/,0.7517049790524768,lexical,0.7517049790524768
lex_R</,0.7503022238101278,lexical,0.7503022238101278
pb_adjv_verb,0.7486187676785855,POS/bigram,0.7486187676785855
pb_prep_art,-0.7371591294008316,POS/bigram,0.7371591294008316
ps_p3,0.7363042934697938,agreement/suffix,0.7363042934697938
prs_HM,0.7334587925088258,agreement/suffix,0.7334587925088258
lex_JHWC</,0.7323055675570547,lexical,0.7323055675570547
pb_prps_art,0.728741881818752,POS/bigram,0.728741881818752
lex_BT/,0.7236952120306596,lexical,0.7236952120306596
rela_Coor,0.7221756820454445,phrase/clause,0.7221756820454445
pb_nega_art,-0.7062484278817118,POS/bigram,0.7062484278817118
pb_intj_nmpr,0.6982431988302801,POS/bigram,0.6982431988302801
pdp_nega,0.6973332415659139,POS/bigram,0.6973332415659139
vtf_impv,0.6827386338591164,verb morphology,0.6827386338591164
vx_ptca_nif,0.6820006201575599,verb morphology,0.6820006201575599
lex_MWT[,-0.6678964796250819,lexical,0.6678964796250819
pb_adjv_nmpr,-0.6625659541396549,POS/bigram,0.6625659541396549
lex_>W,0.662511852384768,lexical,0.662511852384768
lex_>SP[,0.6619985546641365,lexical,0.6619985546641365
pb_prep_nmpr,-0.6608937222008383,POS/bigram,0.6608937222008383
pb_intj_intj,0.656235783760923,POS/bigram,0.656235783760923
lex_QR>[,-0.6319753935818136,lexical,0.6319753935818136
lex_JY>[,-0.6180907884195694,lexical,0.6180907884195694
vtf_infa,0.6165469014510583,verb morphology,0.6165469014510583
lex_>RB</,0.6157227609492271,lexical,0.6157227609492271
vx_ptca_qal,-0.6122616821406235,verb morphology,0.6122616821406235
lex_PLCTJ/,-0.6109342136988998,lexical,0.6109342136988998
lex_KWN[,0.6063910259249597,lexical,0.6063910259249597
lex_BHMH/,-0.595966456352332,lexical,0.595966456352332
pb_prde_inrg,-0.5822351024976424,POS/bigram,0.5822351024976424
pb_inrg_prps,-0.5684696074015183,POS/bigram,0.5684696074015183
rela_Spec,-0.5677334182273834,phrase/clause,0.5677334182273834
lex_>DM/,0.5519407204353182,lexical,0.5519407204353182
rela_Cmpl,-0.5486799574976111,phrase/clause,0.5486799574976111
prs_MW,0.5405391176387616,agreement/suffix,0.5405391176387616
typ_PrNP,-0.5347886279035505,phrase/clause,0.5347886279035505
ps_p1,0.5168030924502792,agreement/suffix,0.5168030924502792
pos_prin,-0.5097741912398522,POS/bigram,0.5097741912398522
lex_CWB[,-0.5073877990897858,lexical,0.5073877990897858
vx_impv_piel,0.5054564138707074,verb morphology,0.5054564138707074
pb_prps_prin,0.5022251041062687,POS/bigram,0.5022251041062687
vs_piel,0.4908904032899179,verb morphology,0.4908904032899179
pb_prde_advb,0.4876102059829333,POS/bigram,0.4876102059829333
lex_XJ/,0.4867049095149894,lexical,0.4867049095149894
vx_impv_qal,0.48269575289323186,verb morphology,0.48269575289323186
pdp_prep,-0.47906637110040484,POS/bigram,0.47906637110040484
lex_RGL/,0.47603018059253327,lexical,0.47603018059253327
st_a,0.465858311517411,agreement/suffix,0.465858311517411
pb_verb_prde,-0.45911236179570836,POS/bigram,0.45911236179570836
pb_nmpr_prps,0.45885147632011797,POS/bigram,0.45885147632011797
vsf_hsht,0.45100199475293845,verb morphology,0.45100199475293845
vx_perf_hif,-0.44927244251513243,verb morphology,0.44927244251513243
lex_<JR/,0.44193325412312895,lexical,0.44193325412312895
pb_nmpr_nmpr,0.436968087277795,POS/bigram,0.436968087277795
pb_nega_intj,-0.43550918661632243,POS/bigram,0.43550918661632243
pb_verb_adjv,0.4253171385805544,POS/bigram,0.4253171385805544
lex_JLD[,-0.4251702224563873,lexical,0.4251702224563873
lex_TWRH/,0.4137039922332523,lexical,0.4137039922332523
lex_>L/,0.40702559433910707,lexical,0.40702559433910707
lex_ZH,-0.40636164852426493,lexical,0.40636164852426493
vt_ptca,0.40181288298057566,verb morphology,0.40181288298057566
lex_HM,-0.3991397321069611,lexical,0.3991397321069611
pb_prep_prde,-0.3967820381055053,POS/bigram,0.3967820381055053
pb_prin_verb,0.3792702208920789,POS/bigram,0.3792702208920789
lex_>T==,0.3745842217072722,lexical,0.3745842217072722
pb_nmpr_conj,-0.36987884997108084,POS/bigram,0.36987884997108084
pdp_prin,-0.3678925632668369,POS/bigram,0.3678925632668369
pb_intj_prps,-0.36141850572075795,POS/bigram,0.36141850572075795
fun_PreC,0.35929457080462146,phrase/clause,0.35929457080462146
pb_subs_inrg,0.3524974445602565,POS/bigram,0.3524974445602565
vsf_piel,0.33813647401144986,verb morphology,0.33813647401144986
pb_prin_art,0.33166435043054004,POS/bigram,0.33166435043054004
lex_NPL[,-0.3105716138160682,lexical,0.3105716138160682
lex_LM<N,-0.3103479348816915,lexical,0.3103479348816915
pb_adjv_prps,-0.3058642032520976,POS/bigram,0.3058642032520976
lex_JD<[,-0.29731209054911295,lexical,0.29731209054911295
pos_prep,-0.29295930330110576,POS/bigram,0.29295930330110576
lex_NPC/,-0.2774428535245365,lexical,0.2774428535245365
lex_>JB[,-0.276991858355989,lexical,0.276991858355989
rela_ReVo,-0.27259785156040583,phrase/clause,0.27259785156040583
pb_verb_prin,-0.2469824055478787,POS/bigram,0.2469824055478787
lex_>L=,0.24066741627735533,lexical,0.24066741627735533
lex_JRC[,-0.237023261703978,lexical,0.237023261703978
lex_M<FH/,-0.2286260596917189,lexical,0.2286260596917189
pb_conj_nega,-0.22365099353364318,POS/bigram,0.22365099353364318
vs_hsht,0.21627761758596603,verb morphology,0.21627761758596603
prs_J,-0.20859856982030728,agreement/suffix,0.20859856982030728
rela_Resu,-0.20846911328326082,phrase/clause,0.20846911328326082
pos_nmpr,0.1947347678700121,POS/bigram,0.1947347678700121
pb_prin_prps,0.19084947296078592,POS/bigram,0.19084947296078592
pb_prps_subs,-0.17346250376582756,POS/bigram,0.17346250376582756
pdp_prde,0.1727371725442243,POS/bigram,0.1727371725442243
lex_NBJ>/,0.15828819154810256,lexical,0.15828819154810256
pb_intj_verb,0.15746588892915683,POS/bigram,0.15746588892915683
lex_MJ,0.15690350644644754,lexical,0.15690350644644754
pdp_nmpr,0.14690390544420825,POS/bigram,0.14690390544420825
lex_<ZB[,-0.1467652670364621,lexical,0.1467652670364621
prs_any,0.1456153351868014,agreement/suffix,0.1456153351868014
lex_>M,0.13996762715397892,lexical,0.13996762715397892
pb_verb_conj,0.1399355453310038,POS/bigram,0.1399355453310038
pb_inrg_inrg,0.13435104047088547,POS/bigram,0.13435104047088547
pb_inrg_nega,0.13127722623842833,POS/bigram,0.13127722623842833
lex_<LH/,0.1299464015177773,lexical,0.1299464015177773
pb_intj_subs,-0.12816880026779623,POS/bigram,0.12816880026779623
fun_Voct,-0.10701221605936062,phrase/clause,0.10701221605936062
pos_prps,0.1032601676280979,POS/bigram,0.1032601676280979
pb_adjv_inrg,0.09714098103731697,POS/bigram,0.09714098103731697
lex_LWJ/,-0.09658745851484274,lexical,0.09658745851484274
pb_conj_subs,-0.08692322695026677,POS/bigram,0.08692322695026677
lex_<BD[,-0.0814228072411778,lexical,0.0814228072411778
lex_ML>K/,-0.07867284617094358,lexical,0.07867284617094358
lex_XDC=/,0.07680153561182632,lexical,0.07680153561182632
lex_YDJQ/,0.05395074424865785,lexical,0.05395074424865785
pb_inrg_conj,0.0506954205794983,POS/bigram,0.0506954205794983
pb_conj_conj,-0.046612227246294165,POS/bigram,0.046612227246294165
lex_B,0.04422559332714648,lexical,0.04422559332714648
vx_wayq_nif,-0.03572082753174457,verb morphology,0.03572082753174457
pb_adjv_nega,-0.03371740245029019,POS/bigram,0.03371740245029019
lex_MVH/,-0.015062216159191387,lexical,0.015062216159191387
vs_poal,0.012897588842367474,verb morphology,0.012897588842367474
vsf_poal,0.012897588842367424,verb morphology,0.012897588842367424
lex_XSD/,0.011372274304052785,lexical,0.011372274304052785
